"";"APO";"CA-KM";"CCB";"CIRV";"CL";"CPI";"DM-SM";"Department-Manager";"FPjM";"O-XFT";"OPO";"PG";"PgM";"PjM";"RBS";"SPM";"Section-Manager";"Sector-Manager";"TC";"TM";"TR";"XFT-D";"XFT-PG";"XFT-Scrum-Master"
"APO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CA-KM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CCB";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CIRV";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CPI";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DM-SM";0;0;0;0;0.02;0;0;0.17;0;0;0.05;0;0.06;0;0;0;0.29;0.08;0;0.09;0;0.17;0.02;0.04
"Department-Manager";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"FPjM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"O-XFT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OPO";0;0;0;0;0;0;0.06;0;0;0;0.19;0;0.17;0;0;0;0;0;0;0;0;0.23;0.21;0.15
"PG";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"PgM";0.17;0.05;0;0.03;0;0;0.07;0;0;0;0.31;0;0.15;0;0;0;0;0;0.22;0;0;0;0;0
"PjM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"RBS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SPM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Section-Manager";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sector-Manager";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"XFT-D";0;0;0.02;0;0;0.02;0.03;0;0.01;0.16;0.02;0.02;0;0;0.02;0;0.01;0;0.01;0;0;0.53;0.01;0.12
"XFT-PG";0;0;0;0;0;0;0;0;0;0;0.73;0;0;0;0;0;0;0;0;0;0;0.13;0;0.13
"XFT-Scrum-Master";0;0;0;0;0;0;0.1;0;0;0.09;0.1;0;0;0.07;0;0;0.06;0;0;0;0;0.57;0;0
